,alpha,mach,alt,cl,cd,cm
0,2.0,0.45,3187.9,0.36748941317220213,0.01660277947082649,0.11269683232384277
1,3.5,0.45,3744.7,0.4864826161567524,0.021578640253514345,0.14748873963025236
2,5.0,0.45,4681.4,0.5994018302091794,0.02841684023792421,0.17851420068084098
3,6.5,0.45,4562.7,0.7045828100130713,0.03720524301273733,0.204164863396368
4,8.0,0.45,4765.6,0.7894261533380704,0.049618214893631045,0.21527889111233944
5,0.0,0.58,3455.6,0.2107216414583309,0.011890912408775661,0.06682925460772984
6,1.5,0.58,3965.2,0.34155998556570205,0.014916297501812448,0.10700834581439532
7,3.0,0.58,5786.9,0.467383107742867,0.019887261924084937,0.14398402043224376
8,4.5,0.58,7059.3,0.5884114853065904,0.02665404771533502,0.17761278371846592
9,6.0,0.58,7047.5,0.7009942512062328,0.03561392520736929,0.20462869274999237
10,0.0,0.68,5979.0,0.21648223670530628,0.012178550693428158,0.06954842166153687
11,1.5,0.68,6545.9,0.3562636932546641,0.015494903868849339,0.1133852255041282
12,3.0,0.68,7844.9,0.4916990552800788,0.02089219356428962,0.15397404088116984
13,4.5,0.68,9144.4,0.6204913501890227,0.02867951895738443,0.18883813194861263
14,6.0,0.68,9082.3,0.7376675613816367,0.0399095667993221,0.21258116243655628
15,0.0,0.75,7516.4,0.22378030271542992,0.012504981062131099,0.07352785521007717
16,1.25,0.75,8234.4,0.3479114717929385,0.015496727492855205,0.11320425186479992
17,2.5,0.75,9378.5,0.46919181255396714,0.02017327274141185,0.15020046037709134
18,3.75,0.75,10037.9,0.5892646509751299,0.026625030183916473,0.18434865238243456
19,5.0,0.75,10346.9,0.7069236717513724,0.03648221090530829,0.21152262355071988
20,0.0,0.8,8653.4,0.23146199529327613,0.012941215330020343,0.07792928952679895
21,1.25,0.8,8923.8,0.36529113985374945,0.016238670758229976,0.1218101122653396
22,2.5,0.8,11605.6,0.4913569282426947,0.022062266185555603,0.1586081737019554
23,3.75,0.8,9700.4,0.6368145609004541,0.029885923192178098,0.2018622049668623
24,5.0,0.8,10198.1,0.7670396209367092,0.04576296129092876,0.23073666002278992
25,0.0,0.83,9398.0,0.2378179089651091,0.013386280110260624,0.08161529279121624
26,2.0,0.83,10707.2,0.4631524200838313,0.02056326850076861,0.15428908774174446
27,4.0,0.83,10995.9,0.6982373853164909,0.03982218302034995,0.2253461151133834
28,0.0,0.86,9907.5,0.24784705809276078,0.014088946180260454,0.0877615301059196
29,1.0,0.86,11325.8,0.36764373558899277,0.0177820326300948,0.1275872429689083
30,2.0,0.86,11852.4,0.4942367537257525,0.02420783200517696,0.17227262011014566
31,3.0,0.86,10615.6,0.611539725619524,0.035648404597551836,0.21357835760229976
32,4.0,0.86,11070.0,0.6907818241481305,0.05137303194087975,0.22840094555674847
