,alpha,mach,alt,cl,cd,cm
0,2.0,0.45,3187.9,0.3680427890711534,0.016634789432661248,0.112864549792985
1,3.5,0.45,3744.7,0.4869443689294902,0.02162529213334978,0.1475914403994595
2,5.0,0.45,4681.4,0.5997207386243694,0.028482492881342553,0.17849014095823323
3,6.5,0.45,4562.7,0.704738594411239,0.03731106157647493,0.20388419510409875
4,8.0,0.45,4765.6,0.7892770633928489,0.049847241240729694,0.21432640351684748
5,0.0,0.58,3455.6,0.21117398093688725,0.011900894424926513,0.06702845928546855
6,1.5,0.58,3965.2,0.34196584493329013,0.01493614297845441,0.10717809269727328
7,3.0,0.58,5786.9,0.4676492694992953,0.019914570190396184,0.14408104471757816
8,4.5,0.58,7059.3,0.58853380319099,0.0266941285774632,0.1775764439184666
9,6.0,0.58,7047.5,0.7009457733570761,0.035694272631331604,0.20424879070270646
10,0.0,0.68,5979.0,0.21663029636546835,0.012181326492623736,0.06968283176468944
11,1.5,0.68,6545.9,0.356363603037206,0.015502025686068947,0.11349219168513222
12,3.0,0.68,7844.9,0.49170352593894145,0.020900457716638527,0.15401678879399405
13,4.5,0.68,9144.4,0.620399935766383,0.02869208677621657,0.18873614027376362
14,6.0,0.68,9082.3,0.7377812469140463,0.0399423581952091,0.21224521993446788
15,0.0,0.75,7516.4,0.2236215549001068,0.012499804140616945,0.07358219750305746
16,1.25,0.75,8234.4,0.34770720947186445,0.015489044024714564,0.11323554529678308
17,2.5,0.75,9378.5,0.4689259627999115,0.020157860192250673,0.15019357649425066
18,3.75,0.75,10037.9,0.5890383947108162,0.02659479163522993,0.18431914971869817
19,5.0,0.75,10346.9,0.707084211615576,0.0364193851228031,0.2116214047229361
20,0.0,0.8,8653.4,0.23096872519393824,0.012925537149030455,0.07787579119824635
21,1.25,0.8,8923.8,0.3647954865216085,0.016213305708584612,0.12174412580423817
22,2.5,0.8,11605.6,0.4907373706979324,0.022006892200821658,0.15849701374838915
23,3.75,0.8,9700.4,0.6360972489867,0.029837455020604992,0.20166195776776813
24,5.0,0.8,10198.1,0.7654156139688442,0.04572840228927906,0.22996058543680686
25,0.0,0.83,9398.0,0.23701644468856212,0.013358278253453225,0.08144015507878159
26,2.0,0.83,10707.2,0.46231661152784687,0.020491735287388044,0.15407235787688148
27,4.0,0.83,10995.9,0.6972297588277968,0.03974923644909617,0.2249808727445329
28,0.0,0.86,9907.5,0.24659462680951386,0.014022339105600459,0.08733408744024193
29,1.0,0.86,11325.8,0.36638564080891495,0.01766394909540137,0.12707082820552865
30,2.0,0.86,11852.4,0.49341254139972934,0.02407302865592753,0.1719584914975024
31,3.0,0.86,10615.6,0.6109055813908739,0.035528002870335404,0.21327891787223843
32,4.0,0.86,11070.0,0.6908632723794733,0.05128182703488157,0.22836188086623482
