,alpha,mach,cd,cl,cmx,cmy,cmz
0,2.0,0.45,0.015368,0.367424,0.559228,-0.125804,-0.012487
1,3.5,0.45,0.019851,0.490447,0.75746,-0.161526,0.008987
2,5.0,0.45,0.02571,0.610919,0.949795,-0.195462,0.040909
3,6.5,0.45,0.033042,0.726612,1.131139,-0.225589,0.081854
4,8.0,0.45,0.04319,0.824725,1.271487,-0.239704,0.121766
5,0.0,0.58,0.011362,0.204876,0.295028,-0.078821,-0.022801
6,1.5,0.58,0.01426,0.337562,0.511413,-0.118942,-0.015882
7,3.0,0.58,0.018664,0.468745,0.72404,-0.157767,0.0031
8,4.5,0.58,0.02462,0.597664,0.931171,-0.194416,0.033575
9,6.0,0.58,0.032807,0.714225,1.111708,-0.220587,0.071517
10,0.0,0.68,0.011388,0.209931,0.303223,-0.081879,-0.021727
11,1.5,0.68,0.014587,0.351857,0.535663,-0.125765,-0.014448
12,3.0,0.68,0.019528,0.492488,0.764477,-0.167804,0.006024
13,4.5,0.68,0.026667,0.627034,0.980163,-0.203524,0.0381
14,6.0,0.68,0.038918,0.717273,1.097856,-0.201462,0.0664
15,0.0,0.75,0.011507,0.214907,0.311574,-0.08499,-0.020577
16,1.25,0.75,0.014326,0.341597,0.519939,-0.125101,-0.015154
17,2.5,0.75,0.01856,0.467759,0.72625,-0.163517,0.000399
18,3.75,0.75,0.024724,0.591146,0.925493,-0.196615,0.025249
19,5.0,0.75,0.035068,0.704781,1.097736,-0.214307,0.053213
20,0.0,0.8,0.011685,0.219639,0.319716,-0.087982,-0.01927
21,1.25,0.8,0.014816,0.355394,0.543595,-0.131742,-0.013456
22,2.5,0.8,0.01969,0.49183,0.766993,-0.172808,0.003757
23,3.75,0.8,0.027856,0.632432,0.991925,-0.20771,0.031598
24,5.0,0.8,0.043943,0.765069,1.188356,-0.233268,0.05645
25,0.0,0.83,0.011861,0.22329,0.32611,-0.090284,-0.018065
26,1.0,0.83,0.014449,0.338342,0.516171,-0.127953,-0.014024
27,2.0,0.83,0.018368,0.455427,0.708219,-0.164234,-0.001793
28,3.0,0.83,0.024669,0.579841,0.908882,-0.200459,0.018929
29,4.0,0.83,0.037004,0.701272,1.097366,-0.236242,0.037507
30,0.0,0.86,0.012243,0.22781,0.334272,-0.093076,-0.016084
31,1.0,0.86,0.015407,0.355184,0.543313,-0.136473,-0.011622
32,2.0,0.86,0.021227,0.485462,0.755292,-0.181785,0.001071
33,3.0,0.86,0.031789,0.608185,0.951038,-0.225202,0.015408
34,4.0,0.86,0.047442,0.684699,1.042564,-0.23336,0.020354
