,alpha,mach,alt,cl,cd,cm
0,2.0,0.45,3187.9,0.3559271863361664,0.016333040943312976,0.11077080852494907
1,3.5,0.45,3744.7,0.47448997084742833,0.02127548086459473,0.145299413598445
2,5.0,0.45,4681.4,0.5866114050628738,0.028130201108341257,0.17581062522487925
3,6.5,0.45,4562.7,0.690114528059453,0.03707010938135896,0.2002552660871923
4,8.0,0.45,4765.6,0.7700801663348403,0.0502753438982571,0.20772161984647194
5,0.0,0.58,3455.6,0.19851502149627837,0.011665510827480293,0.06491150313133079
6,1.5,0.58,3965.2,0.32910006686912674,0.014610677849715802,0.10493862982333578
7,3.0,0.58,5786.9,0.45445875666027846,0.019519431029558474,0.14164780177299552
8,4.5,0.58,7059.3,0.5745107145928153,0.02628230416551098,0.17465555980239134
9,6.0,0.58,7047.5,0.6844859017941033,0.03542550177693487,0.1998505526517847
10,0.0,0.68,5979.0,0.2030323115484472,0.011923976748405087,0.06733987569165695
11,1.5,0.68,6545.9,0.3424883913293853,0.015131463891721032,0.11100019877626988
12,3.0,0.68,7844.9,0.4772532548612644,0.02044385888864167,0.15121519460527838
13,4.5,0.68,9144.4,0.6044004586192846,0.028245087597931536,0.18502663131046426
14,6.0,0.68,9082.3,0.7165275628060043,0.03974597522925965,0.2055779699801711
15,0.0,0.75,7516.4,0.2088848138139883,0.012219126403254526,0.07094893005244086
16,1.25,0.75,8234.4,0.3326481051819861,0.01508932448726758,0.11045747347476124
17,2.5,0.75,9378.5,0.45321864628958625,0.019657159422638917,0.14709339935270946
18,3.75,0.75,10037.9,0.57185912865112,0.02605691978642853,0.1804075659323006
19,5.0,0.75,10346.9,0.6863338294163922,0.03592901979077202,0.20575029358160513
20,0.0,0.8,8653.4,0.21487343474992032,0.012617366906639652,0.07488668585258573
21,1.25,0.8,8923.8,0.3481127512469676,0.015750275507482196,0.11851400914600085
22,2.5,0.8,11605.6,0.47293615182955806,0.021405625899662786,0.15478324231209584
23,3.75,0.8,9700.4,0.6145621950975733,0.029006988981927675,0.19573154588035166
24,5.0,0.8,10198.1,0.747887698999926,0.04407346991644909,0.22578482049564677
25,0.0,0.83,9398.0,0.21958261514187666,0.013024160103106712,0.0780740166611502
26,2.0,0.83,10707.2,0.442625520403989,0.01984265838435318,0.14989389699959574
27,4.0,0.83,10995.9,0.6842584471440076,0.03719436087816898,0.22195958052329767
28,0.0,0.86,9907.5,0.22676959450629464,0.013645366601872655,0.08315546068002337
29,1.0,0.86,11325.8,0.34418334352765606,0.016987023708040408,0.12175799148965391
30,2.0,0.86,11852.4,0.4719022137350748,0.021966076422322723,0.16400529378708453
31,3.0,0.86,10615.6,0.602670599448126,0.03236427475528629,0.2119012095077824
32,4.0,0.86,11070.0,0.6890929401863365,0.04830798619848808,0.22955158157615224
