,Sector,FlightTime,SG,Burnoff,FAF,DOW,ZFW,Dist,realDist,TOwt,AvgWind,ISADev,Year,Month,Date,LW,Category,Mach,M,tripFuel,calFuel,errFuel,calDist,errDist,initialClimbAlt,initialClimbW
0,HKG JFK,15.18333333,78700,124400,8800,176575,214602,7760,7167.85,347102,39,3,2017,1,1,223402,Long,0.802114313527131,0.774312808694814,123700,123485.528469049,-0.173380380720212,,,,
1,HKG JFK,15.26666667,79000,126100,7800,177084,217938,7760,7225.666667,351138,35,1,2017,1,1,225738,Long,0.804170585925771,0.770086210056873,125400,125359.257205468,-0.032490266772212,,,,
2,HKG JFK,15.35,78800,126200,8300,176977,217422,7760,7238.1,351222,34,1,2017,1,1,225722,Long,0.801181077608105,0.765905503329113,125500,125506.759342079,0.005385929943502,,,,
3,HKG JFK,15.2,78800,125300,9300,177035,217543,7776,7228.8,351443,36,0,2017,1,2,226843,Long,0.808047899565427,0.775058552005631,124600,125882.688635365,1.02944513271657,,,,
4,HKG JFK,15.3,78700,125500,8700,176499,215370,7776,7179.3,348770,39,0,2017,1,2,224070,Long,0.797269508904479,0.76999280983566,124700,124941.992096995,0.194059420204829,,,,
5,HKG JFK,15.2,78700,124800,10900,176629,215391,7776,7168,350391,40,0,2017,1,2,226291,Long,0.801251569290198,0.775058552005631,124100,126322.690008719,1.79104754933006,,,,
6,HKG JFK,15.43333333,78000,127100,11300,176927,213689,7760,7235.266667,351189,34,-1,2017,1,3,224989,Long,0.796543119450572,0.761769944620375,126200,125460.45003105,-0.586014238470389,,,,
7,HKG JFK,15.38333333,78500,125900,11400,176956,214664,7760,7267.733333,351164,32,-1,2017,1,3,226064,Long,0.802718029746285,0.764245903270815,125100,125452.862481275,0.282064333553533,,,,
8,HKG JFK,15.25,78500,125600,10500,176864,215975,7760,7211,351275,36,-1,2017,1,3,226475,Long,0.803415370732441,0.770927834498484,124800,125914.217233816,0.892802270685777,,,,
9,HKG JFK,15.13333333,78800,125300,7900,176087,218662,7760,7139.533333,351262,41,0,2017,1,4,226562,Long,0.80158524046188,0.776871110926748,124700,126172.772871368,1.1810528238716,,,,
10,HKG JFK,15.93333333,79100,132000,8300,176462,211782,8841,7518.533334,351282,83,8,2017,1,4,220082,Long,0.801753698711686,0.840652671461537,131200,144629.850252227,10.2361663507826,,,,
11,HKG JFK,15.83333333,79000,131100,7200,177172,213658,8841,7526.833334,351258,83,7,2017,1,4,220858,Long,0.807708083251399,0.845962056756096,130400,144924.043214043,11.1380699494199,,,,
12,HKG JFK,15.28333333,78700,126700,6900,176254,217972,7766,7276.933333,350972,32,1,2017,1,5,224872,Long,0.808993058925908,0.769841199884095,126100,124552.015097102,-1.22758517279741,,,,
13,HKG JFK,15.66666667,78900,129100,7900,176316,214974,8081,7313.333333,351074,49,1,2017,1,5,222874,Long,0.793146203209979,0.78146647616938,128200,131341.87014689,2.4507567448441,,,,
14,HKG JFK,15.58333333,78900,127400,8000,176411,213931,8081,7301.833334,348731,50,1,2017,1,5,221931,Long,0.796133758712728,0.785645441617796,126800,129966.651334758,2.49735909681195,,,,
15,HKG JFK,15.93333333,78700,131200,7400,176391,213234,8750,7523.133334,351234,77,5,2017,1,6,220634,Long,0.802244228823663,0.831999872784577,130600,143014.533087548,9.50576806090944,,,,
16,HKG JFK,15.08333333,78600,123800,9400,176629,218587,7467,7059.75,351187,27,-3,2017,1,6,227987,Long,0.795255127156335,0.75001624700222,123200,121705.453471471,-1.21310594848143,,,,
17,HKG JFK,14.96666667,78800,122400,8800,176177,219243,7489,7069.933333,349843,28,-3,2017,1,6,228043,Long,0.802610277491939,0.758089694512299,121800,121365.417971784,-0.356799694758247,,,,
18,HKG JFK,15.95,78900,131100,10200,176977,210753,8632,7499.55,351153,71,4,2017,1,7,220953,Long,0.798893710275805,0.819922100941339,130200,141077.639885588,8.35456212410744,,,,
19,HKG JFK,15.95,78800,134400,4200,176194,213497,8112,7410.2,351397,44,0,2017,1,7,217697,Long,0.789375652123896,0.770529203294271,133700,128203.945130192,-4.11073662663254,,,,
20,HKG JFK,15.8,78800,135100,4900,176665,212041,8112,7385.2,351241,46,1,2017,1,7,216941,Long,0.794181302984554,0.777844353958457,134300,126668.326186618,-5.68255682306903,,,,
21,HKG JFK,15.46666667,78800,127600,11200,176397,213237,8213,7331.4,351337,57,3,2017,1,8,224437,Long,0.805387108315518,0.804501661869126,126900,134077.432452672,5.6559751400098,,,,
22,HKG JFK,14.8,78800,121800,9800,176900,219248,7411,6819,349748,40,-2,2017,1,8,229048,Long,0.782840813290354,0.758642111899128,120700,124910.446591242,3.48835674502208,,,,
23,HKG JFK,15.41666667,78100,127900,7300,177389,216165,8651,7309.75,350765,87,2,2017,1,8,223465,Long,0.805613111621276,0.85015414819532,127300,143229.941619003,12.513701193247,,,,
24,HKG JFK,15.25,78800,126900,8100,176145,217063,8668,7143,351263,100,3,2017,1,9,225163,Long,0.795839133704317,0.861134338844441,126100,146774.646913472,16.3954376792006,,,,
25,HKG JFK,15.25,78800,125800,7000,176875,216498,8668,7143,348698,100,3,2017,1,9,223498,Long,0.795839133704317,0.861134338844441,125200,145028.065290186,15.837112851586,,,,
26,HKG JFK,15.4,78700,126600,8600,176411,214851,8710,7262.4,349251,94,3,2017,1,10,223451,Long,0.801260860240676,0.856878572573699,125800,144992.347008612,15.2562376857007,,,,
