,Dep,Arr,Flt Time,category,mean mach,total time
658180,SGN,PEN,117,Short haul,0.81,4620
646484,CGO,HKG,222,Short haul,0.81,8520
4184,HKG,YYZ,1334,Ultra long haul,0.83,48840
41247,NGO,HKG,357,Medium haul,0.81,14220
544173,HKG,NRT,334,Medium haul,0.81,12840
340797,DPS,HKG,426,Medium haul,0.81,15960
580294,KIX,HKG,358,Medium haul,0.81,14280
677307,ORD,ATL,128,Short haul,0.81,5280
46639,DEL,BLR,215,Short haul,0.81,8100
436903,HKG,JFK,1515,Ultra long haul,0.83,54900
16158,ORD,JFK,127,Short haul,0.81,5220
669600,HKG,SFO,1148,Long haul,0.83,42480
394081,LAX,MEX,253,Short haul,0.81,10380
64512,MXP,HKG,1101,Long haul,0.83,39660
545794,CDG,BOM,740,Long haul,0.83,27600
574822,HKG,MXP,1219,Ultra long haul,0.83,44340
193169,CDG,HKG,1111,Long haul,0.83,40260
120007,HKG,LAX,1209,Ultra long haul,0.83,43740
454829,ANC,HKG,1013,Long haul,0.83,36780
657488,HKG,ANC,859,Long haul,0.83,32340
547163,HKG,ORD,1338,Ultra long haul,0.83,49080
449228,HKG,JFK,1410,Ultra long haul,0.83,51000
505742,HKG,ICN,252,Short haul,0.81,10320
278107,HKG,ICN,307,Medium haul,0.81,11220
378717,CDG,HKG,1114,Long haul,0.83,40440
434013,EWR,HKG,1501,Ultra long haul,0.83,54060
287285,MXP,HKG,1036,Long haul,0.83,38160
667528,SGN,HKG,210,Short haul,0.81,7800
92563,CGK,HKG,427,Medium haul,0.81,16020
264666,FCO,HKG,1047,Long haul,0.83,38820
708237,BOS,HKG,1505,Ultra long haul,0.83,54300
206557,HKG,MNL,130,Short haul,0.81,5400
341735,HKG,ANC,902,Long haul,0.83,32520
680689,JFK,HKG,1441,Ultra long haul,0.83,52860
615375,HKG,EWR,1452,Ultra long haul,0.83,53520
22349,HKG,PVG,146,Short haul,0.81,6360
388565,TPE,NRT,231,Short haul,0.81,9060
240262,HKG,EWR,1454,Ultra long haul,0.83,53640
512713,ANC,HKG,1016,Long haul,0.83,36960
705907,HKG,CTS,342,Medium haul,0.81,13320
48198,HAN,HKG,122,Short haul,0.81,4920
565632,TPE,HKG,133,Short haul,0.81,5580
325208,HKG,ANC,928,Long haul,0.83,34080
316520,HKG,SYD,838,Long haul,0.83,31080
145085,HKG,SFO,1112,Long haul,0.83,40320
297304,HKG,NRT,354,Medium haul,0.81,14040
226355,JNB,HKG,1209,Ultra long haul,0.83,43740
224431,SIN,HKG,332,Medium haul,0.81,12720
589632,HKG,KIX,300,Short haul,0.81,10800
333722,EWR,HKG,1525,Ultra long haul,0.83,55500
535808,NRT,HKG,428,Medium haul,0.81,16080
696393,HKG,LHR,1230,Ultra long haul,0.83,45000
632423,SGN,PEN,118,Short haul,0.81,4680
627987,PEK,HKG,248,Short haul,0.81,10080
430151,HKG,ICN,307,Medium haul,0.81,11220
454988,SGN,HKG,211,Short haul,0.81,7860
655741,SIN,HKG,328,Medium haul,0.81,12480
32676,HKG,LAX,1233,Ultra long haul,0.83,45180
31908,AMS,FRA,42,Short haul,0.81,2520
584077,SYD,MEL,107,Short haul,0.81,4020
207505,HKG,NRT,341,Medium haul,0.81,13260
704296,NGO,HKG,422,Medium haul,0.81,15720
42122,HKG,DEL,534,Medium haul,0.81,20040
465071,HKG,LAX,1248,Ultra long haul,0.83,46080
192596,KIX,HKG,415,Medium haul,0.81,15300
681288,HKG,ICN,259,Short haul,0.81,10740
277774,HKG,ICN,255,Short haul,0.81,10500
165275,HKG,KUL,324,Medium haul,0.81,12240
99037,HKG,TPE,119,Short haul,0.81,4740
327156,LAX,HKG,1430,Ultra long haul,0.83,52200
580507,HKG,SGN,201,Short haul,0.81,7260
604424,HKG,TPE,117,Short haul,0.81,4620
21537,ANC,DFW,534,Medium haul,0.81,20040
544083,MAN,HKG,1124,Long haul,0.83,41040
548984,GDL,ANC,703,Long haul,0.83,25380
582862,TPE,HKG,131,Short haul,0.81,5460
253980,FRA,AMS,46,Short haul,0.81,2760
299140,HKG,LHR,1244,Ultra long haul,0.83,45840
182910,KIX,TPE,251,Short haul,0.81,10260
529443,HKG,ANC,830,Long haul,0.83,30600
596183,HKG,LHR,1222,Ultra long haul,0.83,44520
102292,NRT,HKG,339,Medium haul,0.81,13140
193434,HKG,EWR,1516,Ultra long haul,0.83,54960
652930,BKK,HKG,232,Short haul,0.81,9120
466127,SYD,HKG,828,Long haul,0.83,30480
370420,KIX,TPE,300,Short haul,0.81,10800
400795,HKG,BKK,228,Short haul,0.81,8880
574792,ANC,HKG,1040,Long haul,0.83,38400
149212,HND,HKG,431,Medium haul,0.81,16260
568821,ANC,HKG,1029,Long haul,0.83,37740
205850,FRA,CDG,54,Short haul,0.81,3240
267567,ANC,DFW,529,Medium haul,0.81,19740
133069,HKG,TPE,129,Short haul,0.81,5340
377971,DAC,HAN,201,Short haul,0.81,7260
266483,LAX,MEX,305,Medium haul,0.81,11100
210872,ANC,LCK,530,Medium haul,0.81,19800
120501,ORD,HKG,1501,Ultra long haul,0.83,54060
495511,TPE,HKG,124,Short haul,0.81,5040
104798,YYZ,HKG,1436,Ultra long haul,0.83,52560
6346,KIX,ICN,119,Short haul,0.81,4740
